Univerbsity of Iowa	BSU Panel discussion: African Americans in the workplace	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>The Black Student Union will host a panel discussion about African Americans' experience within the workplace. Panelists will include African American professionals from UNI and the Cedar Valley.</p>
</div></div></div>	Fri, 22 Jan 2016 19:42:34 +0000	Uncategorized	http://www.uni.edu/unicalendar/bsu-panel-discussion-african-americans-workplace/02-09-2016	
Univerbsity of Iowa	BSU workshop: Rasheed Cromwell	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>The Black Student Union will host a workshop that addresses the "diversity experience" on campuses and within houses/chapters. It takes a much-needed "open and honest" approach that challenges traditional thinking. Fast-paced with insightful exercises, participants leave with an action plan for improving themselves and their environment. A must for those who care about membership and diversity issues. Interactive exercises will allow participants to leave with a greater personal understanding of diversity issues and how they impact our daily lives.</p>
</div></div></div>	Fri, 22 Jan 2016 19:40:11 +0000	Uncategorized	http://www.uni.edu/unicalendar/bsu-workshop-rasheed-cromwell/02-25-2016	
Univerbsity of Iowa	BSU trivia night	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>The Black Student Union will host a trivia night focusing on the contributions that African Americans have made throughout history. Black history facts will be posted on BSU's facebook, twitter and instagram accounts during February where students will be able to review facts that will be asked at the trivia night. Prizes will be provided.</p>
</div></div></div>	Fri, 22 Jan 2016 19:38:35 +0000	Uncategorized	http://www.uni.edu/unicalendar/bsu-trivia-night/02-23-2016	
Univerbsity of Iowa	BSU soul food dinner	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>The Black Student Union will celebrate Soul and African American culture. The focus will be on where soul food originated and why it plays a major role in the African American culture.</p>
</div></div></div>	Fri, 22 Jan 2016 19:37:14 +0000	Uncategorized	http://www.uni.edu/unicalendar/bsu-soul-food-dinner/02-21-2016	
Univerbsity of Iowa	Black Student Unon tunnel of oppression	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>The Black Student Union is sponsoring a display that reenacts modern oppression of minorities such as racial profiling and how the media protrays people of color.</p>
</div></div></div>	Fri, 22 Jan 2016 19:35:33 +0000	Uncategorized	http://www.uni.edu/unicalendar/black-student-unon-tunnel-oppression/02-17-2016	
Univerbsity of Iowa	2016 Restoration & Management Lecture Series	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>"Hydrologic Recovery with Prairie Reconstruction at Neal Smith Wildlife Refuge" will be presented by Keith Schilling, research scientist with Iowa Geological Survey at the University of Iowa. This event will be hosted by the Tallgrass Prairie Center. Open to the public.</p>
</div></div></div>	Fri, 22 Jan 2016 17:25:25 +0000	Uncategorized	http://www.uni.edu/unicalendar/2016-restoration-management-lecture-series/02-04-2016	
Univerbsity of Iowa	Career Readiness Day	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>Stop by the Learning Commons to have a free professional headshot taken, review your resume with Career Services and order personal business cards through UNIBusiness. Whether you’re looking for a job or internship, or participating in social networking opportunities like LinkedIn, a polished look can set you apart from the competition. Professional attire is recommended, no appointment needed.  Students, staff and faculty are welcome.</p>
</div></div></div>	Fri, 22 Jan 2016 16:45:08 +0000	Uncategorized	http://www.uni.edu/unicalendar/career-readiness-day/02-02-2016	
Univerbsity of Iowa	Challenging (Millennial) Generation Research in Education: A Critical/Cultural Approach	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>Kyle Rudick will share a critical, cultural approach to generational research in education. What makes a generation? How are generations different? Research in education (particularly Millennial student research) views generations as relatively stable, 20-year cycles. Rudick's presentation will be followed by a one hour education research working session.</p>
<p><em style="font-size:13.008px"></em></p>
</div></div></div>	Thu, 21 Jan 2016 20:01:08 +0000	Uncategorized	http://www.uni.edu/unicalendar/challenging-millennial-generation-research-education-criticalcultural-approach/02-17-2016	
Univerbsity of Iowa	Beware of Shrinking Imagination: Publicly-Engaged Scholarship and the Educational Enterprise	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>Timothy K. Eatman of Imagining America will explore principles of engaged scholarship and implications for teacher education. This lecture and discussion will situate the American educational enterprise at the nexus of community engagement and the cultural disciplines (arts, humanities, and design). Community-university partnerships can enrich educational scholarship, research and the continuum of knowledge making. <em>  </em> <em> </em></p>
</div></div></div>	Thu, 21 Jan 2016 19:57:57 +0000	Uncategorized	http://www.uni.edu/unicalendar/beware-shrinking-imagination-publicly-engaged-scholarship-and-educational-enterprise/01-29-2016	
Univerbsity of Iowa	Brown Bag: Introduction to Publicly-Engaged Scholarship	<div class="field field-name-field-description field-type-text-long field-label-hidden"><div class="field-items"><div class="field-item even"><p>Danielle Cowley and Shuaib Meacham will provide an introduction to publicly-engaged scholarship: what it is, why it's important, how to do it, their experiences with it and why it's especially important in the field of preK-12 education.<i> </i>The presentation precedes the Friday, Jan. 29, event with Tim Eatman from Imagining America.</p>
</div></div></div>	Thu, 21 Jan 2016 19:49:04 +0000	Uncategorized	http://www.uni.edu/unicalendar/brown-bag-introduction-publicly-engaged-scholarship/01-27-2016	
